"bacino_idrografico","corso_d_acqua","corpo_idrico","provincia","comune","codice_comune","coord_x","coord_y","codice_stazione","data_campionamento","parametro","valore_testuale","cas","wise","other","unita_di_misura","formula_parametro","unita_di_misura_testuale","segno","valore_numerico","anno"
"SERIO","Luio (Torrente)","IT03N008001023161LO","BG","ALBINO","016004","563,433","5,067,959","N008001023161lo1","2018-11-28","Azoto nitroso","0,009","14797-65-0",,,"mg/l","N","milligrammi per litro",,"0.009","2,018"
"SERIO","Luio (Torrente)","IT03N008001023161LO","BG","ALBINO","016004","563,433","5,067,959","N008001023161lo1","2018-11-28","Fenitrotion","<0,005","122-14-5",,,"µg/l",,"microgrammi per litro","<","0.005","2,018"
"SERIO","Luio (Torrente)","IT03N008001023161LO","BG","ALBINO","016004","563,433","5,067,959","N008001023161lo1","2018-11-28","Fenthion","<0,005","55-38-9",,,"µg/l",,"microgrammi per litro","<","0.005","2,018"
"SERIO","Luio (Torrente)","IT03N008001023161LO","BG","ALBINO","016004","563,433","5,067,959","N008001023161lo1","2018-11-28","Imidacloprid","<0,009","138261-41-3",,,"µg/l",,"microgrammi per litro","<","0.009","2,018"
"SERIO","Luio (Torrente)","IT03N008001023161LO","BG","ALBINO","016004","563,433","5,067,959","N008001023161lo1","2018-11-28","Mevinfos","<0,005","7786-34-7",,,"µg/l",,"microgrammi per litro","<","0.005","2,018"
"SERIO","Luio (Torrente)","IT03N008001023161LO","BG","ALBINO","016004","563,433","5,067,959","N008001023161lo1","2018-11-28","Thiacloprid","<0,009","111988-49-9",,,"µg/l",,"microgrammi per litro","<","0.009","2,018"
"SERIO","Acqualina (Torrente)","IT03N008001023011LO","BG","ARDESIO","016012","571,583","5,088,589","N008001023011lo1","2018-03-08","Ammoniaca (non ionizzata)","<0,002","7664-41-7",,,"mg/l","NH3","milligrammi per litro","<","0.002","2,018"
"SERIO","Acqualina (Torrente)","IT03N008001023011LO","BG","ARDESIO","016012","571,583","5,088,589","N008001023011lo1","2018-03-08","Azoto nitroso","<0,003","14797-65-0",,,"mg/l","N","milligrammi per litro","<","0.003","2,018"
"SERIO","Acqualina (Torrente)","IT03N008001023011LO","BG","ARDESIO","016012","571,583","5,088,589","N008001023011lo1","2018-06-14","Ammoniaca (non ionizzata)","<0,002","7664-41-7",,,"mg/l","NH3","milligrammi per litro","<","0.002","2,018"
"SERIO","Acqualina (Torrente)","IT03N008001023011LO","BG","ARDESIO","016012","571,583","5,088,589","N008001023011lo1","2018-06-14","Azoto nitroso","<0,003","14797-65-0",,,"mg/l","N","milligrammi per litro","<","0.003","2,018"
"SERIO","Acqualina (Torrente)","IT03N008001023011LO","BG","ARDESIO","016012","571,583","5,088,589","N008001023011lo1","2018-09-18","Ammoniaca (non ionizzata)","<0,002","7664-41-7",,,"mg/l","NH3","milligrammi per litro","<","0.002","2,018"
"SERIO","Acqualina (Torrente)","IT03N008001023011LO","BG","ARDESIO","016012","571,583","5,088,589","N008001023011lo1","2018-09-18","Azoto nitroso","<0,003","14797-65-0",,,"mg/l","N","milligrammi per litro","<","0.003","2,018"
